timestamp,dam_lbmp_mwh,dam_losses_mwh,dam_congestion_mwh,dam_lbmp_kwh,date,is_weekend,rt_lbmp_mwh,rt_losses_mwh,rt_congestion_mwh,rt_lbmp_kwh,rt_lbmp_std_mwh,rt_lbmp_min_mwh,rt_lbmp_max_mwh,da_rt_spread_mwh,hour_sin,hour_cos,dow_sin,dow_cos,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,cloud_cover,shortwave_radiation,precipitation,pressure_msl,is_day,cooling_degree_hours,heating_degree_hours,is_hot,is_very_hot,is_cold,is_very_cold,humidity_discomfort,solar_generation_proxy,wind_power_proxy,temp_change_1h,temp_change_3h,temp_rolling_6h_mean,temp_rolling_24h_mean,temp_rolling_24h_max,day_of_year,temp_anomaly,hour,day_of_week,month
2025-11-06 01:00:00,36.52,2.48,-0.01,0.03652,2025-11-06,0,41.083333333333336,2.2025,0.0,0.0410833333333333,2.442325022422592,38.64,47.75,4.563333333333333,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,54.3,47.0,66,43.1,13.3,32.7,7,0.0,0.0,1005.2,0,0.0,10.700000000000003,0,0,0,0,0.0,0.0,0.08713470370370371,-2.1000000000000014,-6.800000000000004,58.583333333333336,52.5875,64.0,310,9.308749999999996,1,3,11
2025-11-06 02:00:00,36.15,2.3,-0.01,0.03615,2025-11-06,0,38.71,1.965,0.0,0.03871,0.6105139414683936,37.37,39.43,2.5600000000000023,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,52.3,42.8,54,36.0,15.0,31.8,6,0.0,0.0,1006.7,0,0.0,12.700000000000003,0,0,0,0,0.0,0.0,0.125,-2.0,-6.900000000000006,57.31666666666666,52.958333333333336,64.0,310,7.308749999999996,2,3,11
2025-11-06 03:00:00,35.99,2.29,-0.01,0.03599,2025-11-06,0,35.45916666666667,1.768333333333333,0.0,0.0354591666666666,1.8008152615025803,32.51,38.22,-0.5308333333333337,0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,50.0,40.7,57,35.3,14.2,34.2,5,0.0,0.0,1008.3,0,0.0,15.0,0,0,0,0,0.0,0.0,0.1060477037037037,-2.299999999999997,-6.399999999999999,55.550000000000004,53.270833333333336,64.0,310,5.008749999999999,3,3,11
2025-11-06 04:00:00,37.34,2.34,-0.01,0.03734,2025-11-06,0,38.751666666666665,1.96,0.0,0.0387516666666666,2.642876646704679,34.99,41.44,1.4116666666666615,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,48.2,38.9,60,34.8,14.0,32.2,41,0.0,0.0,1009.8,0,0.0,16.799999999999997,0,0,0,0,0.0,0.0,0.10162962962962964,-1.7999999999999972,-6.099999999999994,53.4,53.53333333333333,64.0,310,3.208750000000002,4,3,11
2025-11-06 05:00:00,42.6,2.71,-0.01,0.0426,2025-11-06,0,35.715714285714284,2.1864285714285714,0.0,0.0357157142857142,2.91221753806459,32.88,41.39,-6.884285714285717,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,47.1,38.7,63,35.2,12.0,31.5,31,0.0,0.0,1010.8,0,0.0,17.9,0,0,0,0,0.0,0.0,0.06400000000000002,-1.1000000000000014,-5.199999999999996,51.38333333333333,53.77916666666667,64.0,310,2.1087500000000006,5,3,11
2025-11-06 06:00:00,60.76,3.87,-0.01,0.0607599999999999,2025-11-06,0,52.36833333333333,2.9375,0.0,0.0523683333333333,6.489989260858649,42.72,65.41,-8.391666666666666,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,46.1,38.3,65,35.2,10.6,27.1,13,0.0,0.0,1012.1,0,0.0,18.9,0,0,0,0,0.0,0.0,0.0441117037037037,-1.0,-3.8999999999999986,49.666666666666664,54.020833333333336,64.0,310,1.1087500000000006,6,3,11
2025-11-06 07:00:00,69.37,4.36,-0.01,0.06937,2025-11-06,0,56.745000000000005,3.056666666666666,0.0,0.056745,3.8033681245586894,51.96,61.34,-12.625,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,45.6,38.2,66,35.0,9.5,23.9,25,0.0,0.0,1013.2,0,0.0,19.4,0,0,0,0,0.0,0.0,0.031754629629629626,-0.5,-2.6000000000000014,48.21666666666667,54.24166666666667,64.0,310,0.6087500000000006,7,3,11
2025-11-06 08:00:00,55.03,3.55,-0.01,0.05503,2025-11-06,0,48.10166666666667,2.6750000000000003,-0.0016666666666666,0.0481016666666666,13.863201016512834,33.69,73.03,-6.928333333333335,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,46.1,38.3,61,33.3,10.0,21.0,5,6.0,0.0,1014.6,1,0.0,18.9,0,0,0,0,0.0,6.0,0.03703703703703703,0.5,-1.0,47.18333333333334,54.44166666666667,64.0,310,1.1087500000000006,8,3,11
2025-11-06 09:00:00,49.77,2.98,-5.38,0.04977,2025-11-06,0,46.57,2.814166666666667,-1.4741666666666664,0.04657,4.2381256577535655,38.86,51.03,-3.200000000000003,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,47.4,40.3,59,33.9,8.6,22.8,5,115.0,0.0,1015.8,1,0.0,17.6,0,0,0,0,0.0,115.0,0.023557629629629633,1.2999999999999972,1.2999999999999972,46.75,54.59583333333333,64.0,310,2.4087499999999977,9,3,11
2025-11-06 10:00:00,42.77,2.85,-0.82,0.04277,2025-11-06,0,46.19083333333333,3.106666666666667,-0.0075,0.0461908333333333,3.9057893122280896,39.34,53.31,3.420833333333327,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,48.7,40.3,54,32.8,11.1,25.7,5,274.0,0.0,1016.4,1,0.0,16.299999999999997,0,0,0,0,0.0,274.0,0.050653,1.3000000000000043,3.1000000000000014,46.833333333333336,54.75416666666666,64.0,310,3.708750000000002,10,3,11
